,gene_P,gene_R,corr,cor
3251,MOCS1,MOCS1,0.215088713,<0.3
3128,MCM8,MCM8,0.214978629,<0.3
4214,RAB11FIP4,RAB11FIP4,0.214633039,<0.3
5764,WDR82,WDR82,0.214521145,<0.3
3664,NUP98,NUP98,0.214359816,<0.3
1475,CYTH3,CYTH3,0.214320643,<0.3
1078,CEBPG,CEBPG,0.21424135,<0.3
3676,OGDHL,OGDHL,0.214218444,<0.3
5756,WDR59,WDR59,0.21421809,<0.3
4697,SENP8,SENP8,0.214206863,<0.3
5515,TP73,TP73,0.213907199,<0.3
1646,DYNC1I1,DYNC1I1,0.213740018,<0.3
4166,PSMC1,PSMC1,0.213630804,<0.3
5740,WAPAL,WAPAL,0.213614237,<0.3
1330,COLEC11,COLEC11,0.213604916,<0.3
3998,PLEKHA4,PLEKHA4,0.213410697,<0.3
405,ATP11C,ATP11C,0.21340292,<0.3
3659,NUP37,NUP37,0.213376909,<0.3
3722,PAPOLG,PAPOLG,0.21331,<0.3
2087,FGFR4,FGFR4,0.213047055,<0.3
5037,SNX29,SNX29,0.213018483,<0.3
5170,STK35,STK35,0.212961441,<0.3
2365,GTF2H3,GTF2H3,0.212838443,<0.3
4156,PSMA5,PSMA5,0.212825489,<0.3
1251,CISD2,CISD2,0.212807043,<0.3
5793,WTAP,WTAP,0.212741156,<0.3
1020,CDA,CDA,0.212512911,<0.3
4172,PSMG4,PSMG4,0.212329472,<0.3
4730,SERPING1,SERPING1,0.212321209,<0.3
6116,ZNF839,ZNF839,0.212291138,<0.3
4663,SCOC,SCOC,0.212214617,<0.3
4753,SFXN4,SFXN4,0.212159007,<0.3
4125,PRPF38A,PRPF38A,0.212076066,<0.3
2857,KRT222,KRT222,0.212022823,<0.3
4191,PTPRF,PTPRF,0.211927965,<0.3
1285,CLPTM1,CLPTM1,0.211858072,<0.3
2345,GRIN1,GRIN1,0.211814291,<0.3
5663,UGGT2,UGGT2,0.211523474,<0.3
252,ANKRD10,ANKRD10,0.211497102,<0.3
3032,LRRC70,LRRC70,0.211425648,<0.3
4133,PRR14,PRR14,0.211403593,<0.3
3530,NGDN,NGDN,0.211387098,<0.3
1054,CDNF,CDNF,0.211378794,<0.3
5111,SRCAP,SRCAP,0.211180343,<0.3
3148,MED27,MED27,0.211133918,<0.3
65,ABT1,ABT1,0.211061221,<0.3
3557,NOL6,NOL6,0.210987957,<0.3
4804,SIK2,SIK2,0.210892212,<0.3
4116,PRKRIP1,PRKRIP1,0.210851681,<0.3
2589,IKBKG,IKBKG,0.21062837,<0.3
6068,ZNF609,ZNF609,0.210614695,<0.3
1545,DGCR8,DGCR8,0.210594835,<0.3
5145,SS18L2,SS18L2,0.210563769,<0.3
5389,TMEM132C,TMEM132C,0.210516053,<0.3
3483,NDUFA7,NDUFA7,0.210442046,<0.3
3855,PDIA2,PDIA2,0.210432006,<0.3
1261,CLDN7,CLDN7,0.210343153,<0.3
1406,CRTAP,CRTAP,0.210326474,<0.3
4665,SDCCAG3,SDCCAG3,0.2101645,<0.3
1961,FAM13A,FAM13A,0.210091171,<0.3
4300,RBM25,RBM25,0.210045104,<0.3
2885,LCLAT1,LCLAT1,0.210043032,<0.3
3669,NYNRIN,NYNRIN,0.209899877,<0.3
4698,SEPN1,SEPN1,0.209831212,<0.3
1552,DHX33,DHX33,0.209724932,<0.3
5028,SNRPD1,SNRPD1,0.209584293,<0.3
4062,PPAN,PPAN,0.209551804,<0.3
872,CAMK2A,CAMK2A,0.209050205,<0.3
2082,FEM1B,FEM1B,0.20889319,<0.3
1935,EXOSC8,EXOSC8,0.208844781,<0.3
2205,GATSL1,GATSL1,0.208829867,<0.3
1374,CPSF3L,CPSF3L,0.208623201,<0.3
4098,PRG4,PRG4,0.208595397,<0.3
3575,NR1H2,NR1H2,0.208407322,<0.3
3183,MGST3,MGST3,0.208216968,<0.3
3981,PLA2G12A,PLA2G12A,0.208040646,<0.3
2515,HSBP1,HSBP1,0.207989185,<0.3
4192,PTPRG,PTPRG,0.207895181,<0.3
2621,INTS7,INTS7,0.207852749,<0.3
3851,PDGFRA,PDGFRA,0.207803176,<0.3
3930,PHF20L1,PHF20L1,0.207669065,<0.3
3649,NUDT22,NUDT22,0.207655438,<0.3
3398,MYL12B,MYL12B,0.207549649,<0.3
2113,FNIP1,FNIP1,0.207492308,<0.3
4809,SIRPG,SIRPG,0.207479919,<0.3
3083,MAP3K2,MAP3K2,0.207399036,<0.3
4209,R3HDM2,R3HDM2,0.207378884,<0.3
1317,COG5,COG5,0.207375298,<0.3
869,CADPS,CADPS,0.207047996,<0.3
3295,MRPL54,MRPL54,0.206958066,<0.3
413,ATP2B1,ATP2B1,0.206947695,<0.3
498,BBS4,BBS4,0.206936676,<0.3
2086,FGFR2,FGFR2,0.206823865,<0.3
3402,MYL6B,MYL6B,0.206642875,<0.3
4509,RPN2,RPN2,0.206601188,<0.3
4975,SLIT3,SLIT3,0.206576278,<0.3
2541,IDI2,IDI2,0.20655377,<0.3
3330,MT1H,MT1H,0.206546527,<0.3
2486,HOXC4,HOXC4,0.2065192,<0.3
4355,RHOA,RHOA,0.206447015,<0.3
3516,NEFM,NEFM,0.206245425,<0.3
1873,ERO1LB,ERO1LB,0.205986714,<0.3
5581,TSPYL2,TSPYL2,0.20591367,<0.3
1761,ENPP6,ENPP6,0.205912155,<0.3
2163,FTSJD1,FTSJD1,0.205857536,<0.3
882,CAPZA2,CAPZA2,0.205851549,<0.3
2067,FBXO18,FBXO18,0.205671701,<0.3
3061,LYVE1,LYVE1,0.205649356,<0.3
1324,COL28A1,COL28A1,0.205628336,<0.3
2527,HUWE1,HUWE1,0.205600144,<0.3
2282,GPN1,GPN1,0.205569749,<0.3
4563,RRAGA,RRAGA,0.205091122,<0.3
4586,SAMD1,SAMD1,0.205052756,<0.3
1618,DPAGT1,DPAGT1,0.204938363,<0.3
6075,ZNF629,ZNF629,0.204474505,<0.3
1953,FAM111A,FAM111A,0.204438631,<0.3
5339,THRAP3,THRAP3,0.204339034,<0.3
33,ABCD3,ABCD3,0.204190086,<0.3
5728,VPS52,VPS52,0.204155628,<0.3
4673,SEC14L5,SEC14L5,0.204081258,<0.3
1698,EEF2,EEF2,0.204059452,<0.3
5336,THOC5,THOC5,0.204016619,<0.3
2896,LEO1,LEO1,0.203988235,<0.3
4828,SLC1A3,SLC1A3,0.203975138,<0.3
96,ADAM10,ADAM10,0.20394578,<0.3
3072,MAGT1,MAGT1,0.203921227,<0.3
3515,NEFL,NEFL,0.203872487,<0.3
3137,MED11,MED11,0.203677224,<0.3
3170,MEX3B,MEX3B,0.203630672,<0.3
799,C6orf136,C6orf136,0.203502415,<0.3
5733,VTI1A,VTI1A,0.203421126,<0.3
1476,CYTIP,CYTIP,0.203386746,<0.3
3039,LRRIQ3,LRRIQ3,0.20338561,<0.3
729,C15orf57,C15orf57,0.203363219,<0.3
3015,LRRC25,LRRC25,0.203258365,<0.3
2084,FEZ2,FEZ2,0.203090723,<0.3
3531,NHLRC2,NHLRC2,0.203066063,<0.3
3558,NOL7,NOL7,0.20303409,<0.3
1730,EIF4EBP3,EIF4EBP3,0.202985319,<0.3
1626,DPT,DPT,0.202891542,<0.3
1647,DYNC1I2,DYNC1I2,0.202878733,<0.3
3666,NUPR1,NUPR1,0.202763529,<0.3
321,ARID1B,ARID1B,0.202693334,<0.3
4015,PMPCB,PMPCB,0.202560026,<0.3
2368,GTF2I,GTF2I,0.202386077,<0.3
1114,CHN2,CHN2,0.202362276,<0.3
2161,FTH1,FTH1,0.202213119,<0.3
3208,MINK1,MINK1,0.20219214,<0.3
1736,ELMO2,ELMO2,0.202154142,<0.3
305,ARGLU1,ARGLU1,0.202153824,<0.3
3439,NAA10,NAA10,0.202114503,<0.3
6130,ZNRF1,ZNRF1,0.201878448,<0.3
3401,MYL6,MYL6,0.201870398,<0.3
3172,MEX3D,MEX3D,0.201759597,<0.3
4341,RFX2,RFX2,0.201735189,<0.3
3544,NINL,NINL,0.201597905,<0.3
4749,SF3B4,SF3B4,0.201536705,<0.3
4694,SENP1,SENP1,0.20146987,<0.3
5738,VWF,VWF,0.201442656,<0.3
909,CBX3,CBX3,0.201394412,<0.3
5144,SS18,SS18,0.201314258,<0.3
4826,SLC12A6,SLC12A6,0.201313312,<0.3
674,BRPF1,BRPF1,0.201306158,<0.3
4747,SF3A3,SF3A3,0.201212103,<0.3
4416,RNF220,RNF220,0.201174448,<0.3
5234,TAOK2,TAOK2,0.201017128,<0.3
1928,EXOSC1,EXOSC1,0.200883448,<0.3
2045,FARSA,FARSA,0.200724227,<0.3
1216,CIC,CIC,0.200666808,<0.3
1629,DSCAML1,DSCAML1,0.200579011,<0.3
1098,CFH,CFH,0.200504315,<0.3
3631,NTRK1,NTRK1,0.200482451,<0.3
2658,JAKMIP3,JAKMIP3,0.200373653,<0.3
3073,MAK,MAK,0.200358165,<0.3
2573,IGSF9,IGSF9,0.200338125,<0.3
5029,SNRPD3,SNRPD3,0.200316055,<0.3
605,BCL2L2,BCL2L2,0.200288639,<0.3
4454,RP1,RP1,0.200268843,<0.3
2150,FOXP3,FOXP3,0.200200279,<0.3
1821,ERG,ERG,0.200157531,<0.3
4603,SCAMP1,SCAMP1,0.200133561,<0.3
2477,HNRNPM,HNRNPM,0.20006596,<0.3
1435,CTTNBP2,CTTNBP2,0.199994812,<0.3
1084,CENPP,CENPP,0.199925237,<0.3
2209,GCC1,GCC1,0.199915563,<0.3
3154,MED7,MED7,0.199757264,<0.3
3574,NQO2,NQO2,0.199701518,<0.3
2686,KCMF1,KCMF1,0.199598403,<0.3
108,ADAMTS6,ADAMTS6,0.199354602,<0.3
161,AFAP1L1,AFAP1L1,0.199351636,<0.3
2867,LAMA4,LAMA4,0.19925956,<0.3
2141,FOXN2,FOXN2,0.199257622,<0.3
5522,TRA2B,TRA2B,0.19922756,<0.3
1660,DZIP3,DZIP3,0.19915399,<0.3
5255,TCF4,TCF4,0.199151642,<0.3
3311,MRPS27,MRPS27,0.199145691,<0.3
2474,HNRNPA1,HNRNPA1,0.199130922,<0.3
1715,EIF2AK3,EIF2AK3,0.198982969,<0.3
4677,SEC61B,SEC61B,0.198932366,<0.3
5880,ZDHHC21,ZDHHC21,0.198928017,<0.3
2373,GTPBP10,GTPBP10,0.198826393,<0.3
5216,TAB2,TAB2,0.19858886,<0.3
4571,RTEL1,RTEL1,0.198436376,<0.3
3485,NDUFA9,NDUFA9,0.198363822,<0.3
5243,TBC1D20,TBC1D20,0.1982653,<0.3
5475,TNFAIP8L1,TNFAIP8L1,0.198053471,<0.3
2544,IFFO2,IFFO2,0.198048445,<0.3
4758,SH2B2,SH2B2,0.197947441,<0.3
2636,ISY1,ISY1,0.197792698,<0.3
2734,KIAA0556,KIAA0556,0.197666276,<0.3
3318,MRPS6,MRPS6,0.1976062,<0.3
1825,ERLIN1,ERLIN1,0.197582787,<0.3
705,C10orf2,C10orf2,0.197463528,<0.3
2426,HCFC2,HCFC2,0.197414986,<0.3
3288,MRPL46,MRPL46,0.197394151,<0.3
3716,PAK3,PAK3,0.197352974,<0.3
3132,MCRS1,MCRS1,0.196914442,<0.3
2212,GCOM1,GCOM1,0.196910782,<0.3
4335,RFC1,RFC1,0.196832027,<0.3
3885,PEX16,PEX16,0.196791178,<0.3
1007,CD300LB,CD300LB,0.196704977,<0.3
5574,TSHZ3,TSHZ3,0.196635167,<0.3
257,ANKRD30B,ANKRD30B,0.196495693,<0.3
759,C1orf52,C1orf52,0.196433999,<0.3
2098,FIP1L1,FIP1L1,0.19633107,<0.3
3521,NEURL2,NEURL2,0.196213927,<0.3
5694,USP27X,USP27X,0.196118669,<0.3
5160,ST3GAL6,ST3GAL6,0.196117661,<0.3
58,ABHD15,ABHD15,0.195810761,<0.3
5813,YOD1,YOD1,0.195781612,<0.3
5835,ZC3H12C,ZC3H12C,0.195754802,<0.3
2210,GCC2,GCC2,0.195474716,<0.3
3327,MSR1,MSR1,0.195368805,<0.3
4329,REM2,REM2,0.195161845,<0.3
1019,CD99,CD99,0.195104161,<0.3
2894,LEMD3,LEMD3,0.195104099,<0.3
3942,PI4KA,PI4KA,0.194887518,<0.3
5061,SPATA13,SPATA13,0.194782875,<0.3
3438,N6AMT2,N6AMT2,0.194696984,<0.3
3306,MRPS2,MRPS2,0.194631188,<0.3
318,ARHGEF4,ARHGEF4,0.194536168,<0.3
2237,GLIPR1,GLIPR1,0.194458525,<0.3
3856,PDK4,PDK4,0.194409054,<0.3
4452,RORA,RORA,0.194367985,<0.3
251,ANKRA2,ANKRA2,0.194340487,<0.3
3704,OXA1L,OXA1L,0.194306387,<0.3
1367,CPEB3,CPEB3,0.194074059,<0.3
294,APOBEC3D,APOBEC3D,0.194029128,<0.3
2545,IFITM1,IFITM1,0.193986874,<0.3
5413,TMEM63B,TMEM63B,0.193793895,<0.3
996,CCT3,CCT3,0.193740077,<0.3
4171,PSMG3,PSMG3,0.193496024,<0.3
4177,PTGDS,PTGDS,0.193453643,<0.3
626,BIRC6,BIRC6,0.193064723,<0.3
231,AMOT,AMOT,0.192982576,<0.3
3936,PHLPP1,PHLPP1,0.192858932,<0.3
4681,SEH1L,SEH1L,0.192835267,<0.3
1967,FAM151B,FAM151B,0.192805215,<0.3
737,C17orf70,C17orf70,0.192796076,<0.3
164,AGAP2,AGAP2,0.192718638,<0.3
232,AMOTL1,AMOTL1,0.192684183,<0.3
5235,TARBP2,TARBP2,0.192410673,<0.3
5524,TRAF3,TRAF3,0.192107912,<0.3
446,ATR,ATR,0.191946296,<0.3
3307,MRPS21,MRPS21,0.191939022,<0.3
5819,ZBED1,ZBED1,0.191908665,<0.3
2516,HSD17B10,HSD17B10,0.191739887,<0.3
3526,NFX1,NFX1,0.191686264,<0.3
3812,PCDHGA5,PCDHGA5,0.191677074,<0.3
3495,NDUFB7,NDUFB7,0.191673355,<0.3
1004,CD248,CD248,0.19160778,<0.3
2385,GYLTL1B,GYLTL1B,0.19159239,<0.3
2651,ITPKA,ITPKA,0.191457258,<0.3
914,CCDC102B,CCDC102B,0.191448512,<0.3
2644,ITGB8,ITGB8,0.191361982,<0.3
3287,MRPL44,MRPL44,0.191306938,<0.3
4012,PLXNB1,PLXNB1,0.191269768,<0.3
4110,PRKAG2,PRKAG2,0.191236424,<0.3
2876,LARP7,LARP7,0.191144893,<0.3
4971,SLIT1,SLIT1,0.191094571,<0.3
5742,WBP5,WBP5,0.19084971,<0.3
1874,ESAM,ESAM,0.190431301,<0.3
4986,SMARCD1,SMARCD1,0.190367535,<0.3
5825,ZBTB40,ZBTB40,0.190286802,<0.3
2229,GLB1L,GLB1L,0.190260852,<0.3
3274,MRPL28,MRPL28,0.190226168,<0.3
4514,RPS11,RPS11,0.190167425,<0.3
1956,FAM120B,FAM120B,0.190129628,<0.3
5566,TRPM6,TRPM6,0.190059503,<0.3
2055,FBRS,FBRS,0.190058576,<0.3
2265,GNB1,GNB1,0.189827214,<0.3
662,BPI,BPI,0.189674097,<0.3
4775,SHANK3,SHANK3,0.18958176,<0.3
4223,RAB3B,RAB3B,0.189465238,<0.3
5672,UNC80,UNC80,0.189413207,<0.3
1631,DSCR3,DSCR3,0.189391043,<0.3
977,CCDC9,CCDC9,0.189332852,<0.3
3,AAAS,AAAS,0.189183793,<0.3
5375,TMCO6,TMCO6,0.189164169,<0.3
5758,WDR60,WDR60,0.188990242,<0.3
6096,ZNF718,ZNF718,0.188907894,<0.3
5080,SPEG,SPEG,0.188740726,<0.3
1066,CDO1,CDO1,0.188703717,<0.3
1040,CDK5RAP2,CDK5RAP2,0.188531127,<0.3
247,ANKIB1,ANKIB1,0.188457806,<0.3
3296,MRPL55,MRPL55,0.188443879,<0.3
3315,MRPS34,MRPS34,0.188228059,<0.3
4764,SH3BP5L,SH3BP5L,0.18821189,<0.3
5955,ZNF28,ZNF28,0.188196885,<0.3
5682,URB2,URB2,0.188186286,<0.3
708,C11orf57,C11orf57,0.188025445,<0.3
4481,RPL27,RPL27,0.187981119,<0.3
2107,FLT4,FLT4,0.187978822,<0.3
3551,NME6,NME6,0.187756287,<0.3
1726,EIF3M,EIF3M,0.187714665,<0.3
4248,RAD54L2,RAD54L2,0.187367622,<0.3
423,ATP5J,ATP5J,0.187206494,<0.3
4047,POLRMT,POLRMT,0.187117627,<0.3
3820,PCDHGB7,PCDHGB7,0.187040686,<0.3
2066,FBXO11,FBXO11,0.187001509,<0.3
3309,MRPS23,MRPS23,0.186922385,<0.3
5288,TESK1,TESK1,0.186723845,<0.3
1107,CHCHD6,CHCHD6,0.186715125,<0.3
1975,FAM184B,FAM184B,0.186701723,<0.3
1530,DDX51,DDX51,0.186678404,<0.3
212,ALOX15,ALOX15,0.186616305,<0.3
1533,DEDD,DEDD,0.186596843,<0.3
4618,SCARF2,SCARF2,0.186522187,<0.3
5520,TPST1,TPST1,0.186342964,<0.3
5197,STYX,STYX,0.186232913,<0.3
4916,SLC25A6,SLC25A6,0.186203822,<0.3
2230,GLE1,GLE1,0.186027171,<0.3
248,ANKK1,ANKK1,0.185894421,<0.3
1944,EZH1,EZH1,0.185757222,<0.3
999,CCT6A,CCT6A,0.185716934,<0.3
1382,CREBBP,CREBBP,0.185716429,<0.3
4181,PTOV1,PTOV1,0.185617743,<0.3
4178,PTMA,PTMA,0.185554467,<0.3
4199,PUM1,PUM1,0.185387756,<0.3
2088,FGR,FGR,0.185346175,<0.3
3263,MRPL13,MRPL13,0.185306115,<0.3
3508,NDUFV1,NDUFV1,0.185179288,<0.3
3646,NUCB1,NUCB1,0.185059641,<0.3
2261,GNAI3,GNAI3,0.184871448,<0.3
5693,USP20,USP20,0.184866656,<0.3
315,ARHGAP42,ARHGAP42,0.184852379,<0.3
1433,CTR9,CTR9,0.184776727,<0.3
1993,FAM65B,FAM65B,0.184535111,<0.3
5472,TMUB1,TMUB1,0.184522149,<0.3
5617,TUBGCP2,TUBGCP2,0.1844931,<0.3
3255,MPHOSPH8,MPHOSPH8,0.184434506,<0.3
2549,IFT52,IFT52,0.184431488,<0.3
1734,ELK1,ELK1,0.184429098,<0.3
5653,UBR3,UBR3,0.184362566,<0.3
698,BUB1B,BUB1B,0.184333083,<0.3
2285,GPR108,GPR108,0.18431037,<0.3
5969,ZNF302,ZNF302,0.184290426,<0.3
3036,LRRC8E,LRRC8E,0.184191538,<0.3
4491,RPL36,RPL36,0.184176037,<0.3
4674,SEC22A,SEC22A,0.184174624,<0.3
448,ATRN,ATRN,0.184109016,<0.3
1531,DDX52,DDX52,0.183803228,<0.3
1027,CDC42EP5,CDC42EP5,0.183769031,<0.3
5729,VPS54,VPS54,0.183752493,<0.3
2446,HHIPL2,HHIPL2,0.183748692,<0.3
3555,NOL11,NOL11,0.18369291,<0.3
3488,NDUFB1,NDUFB1,0.183674056,<0.3
106,ADAMTS2,ADAMTS2,0.183562178,<0.3
4974,SLIT2,SLIT2,0.183209878,<0.3
2490,HOXC9,HOXC9,0.183188357,<0.3
5942,ZNF226,ZNF226,0.182889972,<0.3
1377,CPZ,CPZ,0.182803388,<0.3
243,ANGPT2,ANGPT2,0.182588249,<0.3
5377,TMED2,TMED2,0.182508987,<0.3
5214,SYNPO2L,SYNPO2L,0.182504053,<0.3
4855,SLC25A40,SLC25A40,0.18245512,<0.3
4676,SEC61A1,SEC61A1,0.182407672,<0.3
2598,IL7,IL7,0.182255579,<0.3
4159,PSMB1,PSMB1,0.182200852,<0.3
5775,WNT5B,WNT5B,0.182176871,<0.3
104,ADAMTS12,ADAMTS12,0.181942823,<0.3
2437,HERC1,HERC1,0.181897452,<0.3
1095,CEP76,CEP76,0.181800735,<0.3
271,AOC2,AOC2,0.181737285,<0.3
2736,KIAA0907,KIAA0907,0.181626111,<0.3
2482,HOXB3,HOXB3,0.181299456,<0.3
2362,GTF2A2,GTF2A2,0.181064869,<0.3
4512,RPP38,RPP38,0.180994128,<0.3
4201,PURG,PURG,0.180733459,<0.3
5652,UBR2,UBR2,0.180700082,<0.3
3338,MTFMT,MTFMT,0.180518956,<0.3
422,ATP5I,ATP5I,0.180472457,<0.3
727,C15orf39,C15orf39,0.180432994,<0.3
2479,HOXA10,HOXA10,0.180373912,<0.3
4109,PRKAG1,PRKAG1,0.180362819,<0.3
5632,U2AF1,U2AF1,0.180253791,<0.3
3141,MED15,MED15,0.180164353,<0.3
304,ARF5,ARF5,0.180060175,<0.3
3919,PGLS,PGLS,0.179988172,<0.3
5067,SPATA5L1,SPATA5L1,0.179816753,<0.3
607,BCL7C,BCL7C,0.179799075,<0.3
1801,EPHX4,EPHX4,0.17958656,<0.3
1508,DDI2,DDI2,0.179551527,<0.3
2713,KCTD17,KCTD17,0.179438669,<0.3
4075,PPP2CB,PPP2CB,0.179418239,<0.3
4501,RPL7,RPL7,0.179384154,<0.3
3995,PLCL2,PLCL2,0.179378592,<0.3
4230,RABGAP1L,RABGAP1L,0.179335031,<0.3
5263,TDO2,TDO2,0.179034744,<0.3
788,C2orf76,C2orf76,0.178914104,<0.3
3863,PDZD11,PDZD11,0.178771934,<0.3
2472,HMGXB4,HMGXB4,0.178709661,<0.3
114,ADAT2,ADAT2,0.178674087,<0.3
2152,FRAS1,FRAS1,0.17854969,<0.3
1649,DYNLRB1,DYNLRB1,0.178466819,<0.3
3944,PIGA,PIGA,0.178458855,<0.3
5089,SPNS1,SPNS1,0.178436384,<0.3
4468,RPL15,RPL15,0.178423646,<0.3
2407,HADHB,HADHB,0.178071439,<0.3
5840,ZC3HAV1,ZC3HAV1,0.178058556,<0.3
1923,EXOC4,EXOC4,0.178020313,<0.3
4298,RBM20,RBM20,0.177946027,<0.3
5055,SP6,SP6,0.177760458,<0.3
1674,EBNA1BP2,EBNA1BP2,0.177758589,<0.3
5220,TADA3,TADA3,0.177631586,<0.3
3281,MRPL38,MRPL38,0.177616182,<0.3
5842,ZCCHC12,ZCCHC12,0.177613793,<0.3
5204,SUPT7L,SUPT7L,0.17755119,<0.3
3331,MTCH1,MTCH1,0.177517604,<0.3
4402,RNASEH2C,RNASEH2C,0.177489767,<0.3
1661,E2F3,E2F3,0.177378504,<0.3
923,CCDC135,CCDC135,0.177370443,<0.3
2440,HERPUD1,HERPUD1,0.177365399,<0.3
4805,SIKE1,SIKE1,0.177265036,<0.3
1995,FAM73A,FAM73A,0.177240541,<0.3
3486,NDUFAF1,NDUFAF1,0.177174107,<0.3
270,AOAH,AOAH,0.177120393,<0.3
503,BCAS2,BCAS2,0.176803664,<0.3
4229,RABAC1,RABAC1,0.176709386,<0.3
5233,TAF6L,TAF6L,0.176484124,<0.3
1997,FAM76B,FAM76B,0.176306404,<0.3
5347,TIMM8B,TIMM8B,0.176186717,<0.3
5468,TMOD4,TMOD4,0.176061727,<0.3
109,ADAMTS7,ADAMTS7,0.175829587,<0.3
2213,GDE1,GDE1,0.175811307,<0.3
3099,MARK1,MARK1,0.175802861,<0.3
5945,ZNF25,ZNF25,0.17574092,<0.3
5480,TNNI2,TNNI2,0.175689932,<0.3
1337,COPA,COPA,0.1756695,<0.3
5580,TSPAN9,TSPAN9,0.175568352,<0.3
4499,RPL5,RPL5,0.175487224,<0.3
4401,RNASEH2A,RNASEH2A,0.175421327,<0.3
4841,SLC25A14,SLC25A14,0.175068164,<0.3
2846,KLHL25,KLHL25,0.17478654,<0.3
489,BAIAP3,BAIAP3,0.17453383,<0.3
5639,UBE2B,UBE2B,0.174488577,<0.3
3663,NUP85,NUP85,0.174244299,<0.3
6122,ZNF98,ZNF98,0.174236935,<0.3
3074,MAML1,MAML1,0.173914634,<0.3
775,C2orf49,C2orf49,0.173876201,<0.3
255,ANKRD13B,ANKRD13B,0.17384396,<0.3
5822,ZBTB11,ZBTB11,0.173703213,<0.3
34,ABCD4,ABCD4,0.173683927,<0.3
3996,PLD2,PLD2,0.173629334,<0.3
5206,SURF4,SURF4,0.173620602,<0.3
2424,HBP1,HBP1,0.173390767,<0.3
4418,RNF32,RNF32,0.173365432,<0.3
5268,TEAD4,TEAD4,0.1733497,<0.3
4495,RPL37A,RPL37A,0.173323987,<0.3
4595,SART1,SART1,0.173154852,<0.3
3652,NUFIP1,NUFIP1,0.173074441,<0.3
2193,GALNT10,GALNT10,0.173070824,<0.3
4236,RAD1,RAD1,0.172714652,<0.3
2552,IGF1,IGF1,0.172560704,<0.3
2226,GIGYF2,GIGYF2,0.172533776,<0.3
5648,UBL4A,UBL4A,0.172432904,<0.3
499,BBS5,BBS5,0.172418837,<0.3
1331,COMMD1,COMMD1,0.172408985,<0.3
3661,NUP54,NUP54,0.172280879,<0.3
1360,COX8A,COX8A,0.172218333,<0.3
6071,ZNF616,ZNF616,0.172125281,<0.3
1418,CSNK1G3,CSNK1G3,0.171899129,<0.3
4407,RNF150,RNF150,0.171788847,<0.3
5743,WDFY2,WDFY2,0.171739007,<0.3
5191,STT3B,STT3B,0.171710017,<0.3
5337,THOC6,THOC6,0.171709152,<0.3
1704,EGLN3,EGLN3,0.171682825,<0.3
3031,LRRC6,LRRC6,0.171645212,<0.3
469,B4GALT5,B4GALT5,0.171509846,<0.3
1718,EIF2B4,EIF2B4,0.171355998,<0.3
4337,RFESD,RFESD,0.171059864,<0.3
5062,SPATA18,SPATA18,0.170932492,<0.3
5954,ZNF276,ZNF276,0.170894966,<0.3
5530,TRAPPC5,TRAPPC5,0.170848043,<0.3
5374,TMCO3,TMCO3,0.17083241,<0.3
1043,CDK9,CDK9,0.170757233,<0.3
2830,KLF2,KLF2,0.170588281,<0.3
4168,PSMD4,PSMD4,0.170522076,<0.3
3480,NDUFA4,NDUFA4,0.170510615,<0.3
3696,OSTM1,OSTM1,0.170455266,<0.3
4404,RNF121,RNF121,0.170415379,<0.3
3838,PDE2A,PDE2A,0.170403431,<0.3
31,ABCC9,ABCC9,0.170379175,<0.3
2493,HP,HP,0.170342098,<0.3
2890,LDLR,LDLR,0.170331668,<0.3
1701,EGF,EGF,0.170298791,<0.3
4500,RPL6,RPL6,0.170263625,<0.3
5794,WTIP,WTIP,0.170243616,<0.3
6011,ZNF468,ZNF468,0.170153426,<0.3
3819,PCDHGB6,PCDHGB6,0.170150641,<0.3
1729,EIF4EBP2,EIF4EBP2,0.170123641,<0.3
5686,USE1,USE1,0.16996199,<0.3
4662,SCNN1D,SCNN1D,0.16980274,<0.3
1318,COL10A1,COL10A1,0.169720034,<0.3
5659,UBXN7,UBXN7,0.169585761,<0.3
4054,POT1,POT1,0.169584395,<0.3
1105,CHCHD1,CHCHD1,0.169561502,<0.3
3517,NEK1,NEK1,0.169545487,<0.3
5151,SSNA1,SSNA1,0.169436378,<0.3
4409,RNF166,RNF166,0.169115563,<0.3
3261,MRPL10,MRPL10,0.169095064,<0.3
4096,PREX2,PREX2,0.169082414,<0.3
2525,HTRA2,HTRA2,0.169015272,<0.3
4486,RPL31,RPL31,0.169010265,<0.3
1268,CLK1,CLK1,0.168966018,<0.3
2856,KRR1,KRR1,0.168914322,<0.3
5620,TUBGCP6,TUBGCP6,0.168650557,<0.3
4065,PPFIA3,PPFIA3,0.168617619,<0.3
6127,ZNHIT6,ZNHIT6,0.168498371,<0.3
2447,HIC1,HIC1,0.168460362,<0.3
2112,FNBP4,FNBP4,0.168284055,<0.3
3252,MON1A,MON1A,0.168284019,<0.3
4943,SLC33A1,SLC33A1,0.168213788,<0.3
4403,RNF10,RNF10,0.168128305,<0.3
3690,OSMR,OSMR,0.16802799,<0.3
4108,PRKACA,PRKACA,0.167997615,<0.3
5190,STT3A,STT3A,0.167960411,<0.3
5973,ZNF330,ZNF330,0.167876187,<0.3
2757,KIDINS220,KIDINS220,0.167871001,<0.3
3149,MED28,MED28,0.167785272,<0.3
2491,HOXD10,HOXD10,0.167778747,<0.3
3177,MGA,MGA,0.167653476,<0.3
