"","rn","CCNB1_cor_pro","CCNB1_cor_cna"
"60","PDLIM7",-0.210154696930626,0.768973828692267
"59","ITGA1",-0.215576641320238,0.794987020528096
"58","SYNPO",-0.220168150279002,0.918175543371172
"57","PDGFRB",-0.220277368134188,0.918175543371172
"56","TMEM173",-0.223069261038249,0.864510661279815
"55","CAMK2A",-0.223330625126631,0.918175543371172
"54","HINT1",-0.223510810112938,0.972593703074031
"53","VCAN",-0.226370196352146,0.994037692601899
"52","CSF1R",-0.226422980092237,0.918175543371172
"51","RASA1",-0.227436572874247,0.994037692601899
"50","SAP30L",-0.229945693031063,0.833972170513626
"49","THG1L",-0.231447455752584,0.849882637137035
"48","DMXL1",-0.231797718518323,0.967033144426542
"47","LNPEP",-0.233772148104061,0.961952479860804
"46","PCDH1",-0.234426105761602,0.884578487584681
"45","RAB24",-0.234981090883482,0.782627208480441
"44","SFXN1",-0.23797025136246,0.781481360562946
"43","TTC37",-0.242978068615421,0.993979170402853
"42","MRPS36",-0.245788306542802,1
"41","F12",-0.245909554961286,0.768973828692267
"40","SCAMP1",-0.247462150002379,0.993593399293976
"39","TRIM23",-0.248151030914734,0.99948057921364
"38","PJA2",-0.252191130871563,0.97972921452279
"37","SKP1",-0.253893382169915,0.967486156001575
"36","ARHGEF37",-0.254709798942345,0.918175543371172
"35","MAN2A1",-0.264167997263747,0.97972921452279
"34","GLRX",-0.273541554187234,0.993995767243448
"33","DCTN4",-0.27407325220782,0.8937942481658
"32","SGCD",-0.28256076317866,0.862483336884558
"31","SNX18",-0.28344602129956,0.942081448438308
"30","CDKN2AIPNL",-0.28410988841438,0.967486156001575
"29","MAST4",-0.290987614157564,0.968430989672056
"28","FER",-0.293944033225415,0.979730027541261
"27","UBLCP1",-0.295851260268083,0.872725822656162
"26","FCHO2",-0.29639695081523,0.981043289080039
"25","RUFY1",-0.29656958083192,0.827134767243821
"24","IQGAP2",-0.298269863310673,0.993593399293976
"23","PGGT1B",-0.302581311199147,0.971979978584779
"22","PCBD2",-0.303163967112268,0.953009860326552
"21","GNPDA1",-0.304451992985988,0.884578487584681
"20","IL6ST",-0.3075009818104,0.960564447599986
"19","SNX2",-0.310591376660671,0.947028118513763
"18","RAD50",-0.315152345015405,0.959840776398792
"17","KIAA1191",-0.318553216375821,0.782386832195682
"16","THBS4",-0.325440779528206,0.993593399293976
"15","GPX3",-0.328470644918457,0.857679378049987
"14","PPP2R2B",-0.330392273644691,0.93126102602779
"13","MCC",-0.33360956486674,0.963561809842194
"12","ANXA6",-0.334995824458932,0.857679378049987
"11","DTWD2",-0.348708132738931,0.967033144426542
"10","TMED7",-0.355009990885892,0.972097146327199
"9","FAM114A2",-0.355476470644071,0.857280504615548
"8","NUDT12",-0.360825747076089,0.990369583796234
"7","MAT2B",-0.363018599451654,0.874041601931039
"6","FBXO38",-0.374897621864859,0.918089043964093
"5","TBC1D9B",-0.375139845000158,0.827814959981276
"4","MCCC2",-0.397963115793388,0.978804382380672
"3","MAPK9",-0.4151327604992,0.826494672634606
"2","FAM172A",-0.418968469940552,0.969350920622618
"1","PURA",-0.459535385684287,0.864510661279815
